"slc","ppe","egdd","esm","efm","eff","moistureDeduction","temperatureDeduction","basicClimateRating","springMoisture","fallMoisture","fallFrost","points","class"
707010,-241.4,1412,-7.2,-5.1,0,18.28,18.8,81.2,4.28,0,0,77.72464,"2AH"
816013,-329.7,1644,-29.1,-37.3,0,35.94,0,64.06,2.09,0,0,62.721146,"2A"
940004,-143,958,16.5,75.5,0,0,64.2,35.8,6.65,7.55,0,30.7164,"4H"
535001,-91.4,1703,61.8,25.7,0,0,0,110.3,10,2.57,0,96.43529,"1"
308021,52,559,51.1,76.7,0,0,87.05,12.95,10,7.67,0,10.661735,"6H"
955002,-86.3,1349,82.9,44.2,0,0,25.1,74.9,10,4.42,0,64.09942,"2H"
348016,-180.1,1173,-0.3,31.8,0,6.02,42.7,57.3,4.97,3.18,0,52.63005,"3H"
948005,-69.5,446,50,42.6,0,0,92.7,7.3,10,4.26,0,6.25902,"7H"
925017,-200.3,998,-11.1,24.5,0,10.06,60.2,39.8,3.89,2.45,0,37.27668,"4H"
985027,13.5,501,70.9,55,0,0,89.95,10.05,10,5.5,0,8.49225,"7H"
740008,-263.1,1445,-29.4,-23.9,0,22.62,15.5,77.38,2.06,0,0,75.785972,"2AH"
335001,-172.1,1001,8.4,42.4,0,4.42,59.9,40.1,5.84,4.24,0,36.05792,"4H"
999025,-46.6,522,46.1,23.6,0,0,88.9,11.1,9.61,2.36,0,9.77133,"7H"
905017,-225.5,754,-6,33.1,0,15.1,77.3,22.7,4.4,3.31,0,20.94983,"5AH"
263032,-215.1,1122,4.7,33.9,0,13.02,47.8,52.2,5.47,3.39,0,47.57508,"3H"
